type	area	id	lon	lat
start	melchiorre	1	9.208420515060425	45.497112697779095
end	melchiorre	2	9.195384979248047	45.48480810003017
start	isola	2	9.195384979248047	45.48480810003017
end	isola	3	9.1900634765625	45.48000135657404
start	centro	3	9.1900634765625	45.48000135657404
end	centro	4	9.177489280700684	45.456006642622455
start	darsena	4	9.177489280700684	45.456006642622455
end	darsena	5	9.1770601272583	45.45288334329563
