type	area	price	lat	lon
idealista	centro	26	38.4141056	14.95389
idealista	centro	18	44.0689581	10.4531684
idealista	centro	17	45.4671431	9.2018962
idealista	centro	20	45.5139204	8.8853915
idealista	centro	33	45.5540692	8.9747206
idealista	centro	15	45.5139204	8.8853915
idealista	centro	26	45.5139204	8.8853915
idealista	darsena	14	45.5213039	8.7751321
idealista	darsena	11	45.5274583	9.0000212
idealista	darsena	17	45.4583745	9.1772048
idealista	darsena	15	45.4583745	9.1772048
idealista	darsena	14	38.2005684	13.3212562
idealista	darsena	17	45.6327403	9.0313141
idealista	darsena	37	45.4489428	9.1701413
idealista	darsena	14	45.4568158	9.1808503
idealista	darsena	26	45.4555157	9.1758626
idealista	darsena	15	45.5213039	8.7751321
idealista	darsena	19	45.5213039	8.7751321
idealista	darsena	42	45.4555157	9.1758626
idealista	melchiorre	14	45.486399	9.197192
idealista	melchiorre	12	45.491333	9.205873
idealista	melchiorre	16	45.6649555	9.1219962
idealista	melchiorre	12	45.492663	9.206532
idealista	melchiorre	19	45.491472	9.205168
idealista	melchiorre	16	45.480956	9.190701
idealista	melchiorre	12	45.492663	9.206532
idealista	melchiorre	18	45.487924	9.198923
idealista	melchiorre	16	45.49535	9.207446
idealista	melchiorre	20	45.487352	9.200447
idealista	melchiorre	19	39.2259626	9.0981383
idealista	melchiorre	10	45.4942719	9.2071397
idealista	melchiorre	33	45.5139204	8.8853915
idealista	melchiorre	12	45.492663	9.206532
idealista	melchiorre	17	45.4936444	9.2091353
idealista	melchiorre	26	45.494444	9.20362
idealista	melchiorre	14	41.9118528	12.5178374
idealista	melchiorre	14	39.2259626	9.0981383
idealista	melchiorre	20	45.7753208	8.6090156
idealista	isola	25	45.4833471	9.189624
idealista	isola	41	45.428343	9.322507
idealista	isola	50	45.481965	9.191921
idealista	isola	10	45.5139204	8.8853915
idealista	isola	26	45.4833471	9.189624
idealista	isola	33	45.5139204	8.8853915
idealista	isola	12	45.5139204	8.8853915
