type	area	price	lat	lon
airbnb	centro	93	45.472656777630725	9.186896884829581
airbnb	centro	93	45.4728865420484	9.187260722212466
airbnb	centro	70	45.47234220812583	9.187574702643683
airbnb	centro	93	45.472336372932226	9.186561246385732
airbnb	centro	87	45.47310615661235	9.187010937811866
airbnb	centro	61	45.472131819403906	9.187540921999902
airbnb	centro	92	45.47253357400429	9.18665729359142
airbnb	centro	154	45.47261680191841	9.186702992307092
airbnb	centro	185	45.47332999815653	9.187594533202194
airbnb	centro	227	45.472945530192916	9.187525238853684
airbnb	centro	83	45.47209147659879	9.186258083533108
airbnb	centro	73	45.47321258272887	9.186594393976227
airbnb	centro	87	45.47344480220866	9.1865441385314
airbnb	centro	191	45.472401084599355	9.186032380355888
airbnb	centro	103	45.47224142090851	9.186018882523438
airbnb	centro	154	45.4726737656018	9.186645884419091
airbnb	centro	61	45.47214882498405	9.18663738528654
airbnb	centro	103	45.47347611941958	9.186769989598366
airbnb	centro	102	45.4729479724913	9.188398710533944
airbnb	centro	124	45.4719219026344	9.188067341572316
airbnb	centro	113	45.47299625824768	9.187881943517631
airbnb	centro	196	45.472808279728085	9.18733974258521
airbnb	centro	288	45.473201118707195	9.188247325395464
airbnb	centro	88	45.4719096920133	9.186312495833445
airbnb	centro	124	45.47232163309785	9.187143540848783
airbnb	centro	330	45.472306813871036	9.188185303812535
airbnb	centro	772	45.473514019238316	9.188278962715167
airbnb	centro	124	45.47184919298886	9.187951424827997
airbnb	centro	124	45.47420672642359	9.187491706632215
airbnb	centro	185	45.47427450887399	9.186605147665702
airbnb	centro	108	45.47433152337008	9.187652622162163
airbnb	centro	108	45.47430093226095	9.186769611059908
airbnb	centro	98	45.47420221094857	9.187381834451589
airbnb	centro	175	45.47401017785102	9.186876838038616
airbnb	centro	83	45.474462303526245	9.186512983309647
airbnb	centro	60	45.47454060382021	9.186924223428395
airbnb	centro	36	45.4750242905665	9.186206493786889
airbnb	centro	93	45.473840555607225	9.187450549920099
airbnb	centro	67	45.47392920177388	9.187061038976344
airbnb	centro	185	45.47452386203435	9.187807983761488
airbnb	centro	257	45.474341319203724	9.187803383710447
airbnb	centro	193	45.4747369796274	9.18759717673528
airbnb	centro	175	45.474697393135024	9.186197477556096
airbnb	centro	257	45.47436805212601	9.187861654371385
airbnb	centro	370	45.47501344164959	9.188012497728986
airbnb	centro	103	45.47366940541589	9.187972407577973
airbnb	centro	154	45.474041800732884	9.188226575225597
airbnb	centro	206	45.475088370302245	9.187510240812191
airbnb	centro	83	45.473657142810126	9.186056743374378
airbnb	centro	124	45.47437982711634	9.18630847514106
airbnb	centro	103	45.47386563587967	9.18822868623917
airbnb	centro	60	45.47490895843518	9.187190819085826
airbnb	centro	257	45.47518476130295	9.187874069658804
airbnb	centro	196	45.474088329244296	9.187981328369522
airbnb	centro	206	45.47359865566418	9.188340759119084
airbnb	centro	205	45.47509626304968	9.185917688774264
airbnb	centro	60	45.47478453020503	9.186076023694671
airbnb	centro	83	45.47478592245795	9.187887377770911
airbnb	centro	124	45.474405823015054	9.187644032790676
airbnb	centro	92	45.47461706197222	9.187657130833054
airbnb	centro	217	45.47410924111867	9.18766806801809
airbnb	centro	67	45.47380348985096	9.18772966317305
airbnb	centro	103	45.45612598732145	9.18921605894916
airbnb	centro	171	45.45674309761221	9.189434007017585
airbnb	centro	175	45.47225205706097	9.189124502406086
airbnb	centro	113	45.47293800338486	9.188476620595727
airbnb	centro	139	45.47297863249697	9.1886349142761
airbnb	centro	206	45.472737764013786	9.190656415284568
airbnb	centro	154	45.47194090873279	9.188562111228812
airbnb	centro	297	45.472159699334085	9.190455796389838
airbnb	centro	249	45.474010867550376	9.189625140499482
airbnb	centro	51	45.4751058489243	9.18851286970272
airbnb	centro	160	45.4742512463532	9.190499886459955
airbnb	centro	185	45.47516254929983	9.190449382907657
airbnb	centro	363	45.47424545396699	9.189280124325009
airbnb	centro	134	45.475232839817856	9.188604157168996
airbnb	centro	721	45.473587729571356	9.19057385980378
airbnb	centro	82	45.47593165980855	9.189756750889067
airbnb	centro	39	45.476503071025256	9.189107200780764
airbnb	centro	134	45.475955402765955	9.18899118891174
airbnb	centro	77	45.47679777921349	9.190553468515414
airbnb	centro	71	45.476839057581195	9.188665247783277
airbnb	centro	40	45.47696793694984	9.18959151102691
airbnb	centro	97	45.47647869240953	9.188493849903626
airbnb	centro	113	45.47681449978214	9.190061299754067
airbnb	centro	161	45.47581855453774	9.188579247820927
airbnb	centro	207	45.475393010833216	9.190711590105163
airbnb	centro	185	45.47543952465639	9.188794719085065
airbnb	centro	93	45.47690822720285	9.19006952353869
airbnb	centro	124	45.47584454369341	9.188522069874193
airbnb	centro	66	45.47815846869106	9.189334357393609
airbnb	centro	185	45.4780917714523	9.189667352781598
airbnb	centro	154	45.47798350862956	9.189223973673663
airbnb	centro	121	45.477731789035026	9.18879706034893
airbnb	centro	103	45.47836983105591	9.189387471457826
airbnb	centro	77	45.478059742822445	9.189322538624426
airbnb	centro	93	45.47720254409844	9.189784121995515
airbnb	centro	206	45.47830379071501	9.189830927761673
airbnb	centro	134	45.47750463512644	9.189769500651185
airbnb	centro	165	45.478435793988176	9.190257335028386
airbnb	centro	134	45.47840742064817	9.18912289452234
airbnb	centro	93	45.47723045864073	9.189379566558856
airbnb	centro	103	45.47754696522385	9.188791533959234
airbnb	centro	172	45.47816327749594	9.190045602839687
airbnb	centro	124	45.478593807497646	9.190233188514663
airbnb	centro	347	45.478116878758385	9.189891707422905
airbnb	centro	87	45.477383384875935	9.188565290762897
airbnb	centro	113	45.477590555211535	9.189606457898048
airbnb	centro	206	45.47811408610386	9.188961599330204
airbnb	centro	54	45.4803584472053	9.189948110119344
airbnb	centro	67	45.47912366504589	9.190429614601085
airbnb	centro	89	45.47900751802109	9.19071934565442
airbnb	centro	154	45.479682936973745	9.18856750615075
airbnb	centro	124	45.47980526923088	9.188605527252061
airbnb	centro	73	45.479656173783894	9.190288458288139
airbnb	centro	165	45.48022832263634	9.189421573352687
airbnb	centro	206	45.48013241505606	9.189634776326015
airbnb	centro	51	45.478879128008266	9.188425607309771
airbnb	centro	133	45.47963916292781	9.189037273606157
airbnb	centro	185	45.479117768718154	9.18884848441267
airbnb	centro	134	45.478875203001095	9.188775058779893
airbnb	centro	67	45.479115683810555	9.188585850362891
airbnb	centro	57	45.47978952693145	9.189187988728957
airbnb	centro	71	45.48115737096448	9.18926925324162
airbnb	centro	92	45.48151904071757	9.190040100274226
airbnb	centro	77	45.481310713721	9.189988000885615
airbnb	centro	83	45.481229832554945	9.189532101465634
airbnb	centro	64	45.48125905464597	9.188860160101735
airbnb	centro	103	45.482170881644656	9.188878482980773
airbnb	centro	83	45.48065716875091	9.18978478380271
airbnb	centro	231	45.48096819960028	9.1890335343837
airbnb	centro	211	45.48099671366193	9.188864355437525
airbnb	centro	227	45.482153534757245	9.18893728605676
airbnb	centro	67	45.4816496601084	9.188483896627446
airbnb	centro	102	45.45707228815432	9.191748228696927
airbnb	centro	51	45.456673866684	9.192332158315901
airbnb	centro	77	45.4568841289034	9.193317131024104
airbnb	centro	103	45.456886297620244	9.192659092484886
airbnb	centro	80	45.457635778700144	9.192398811394034
airbnb	centro	165	45.45703280457061	9.191121411046446
airbnb	centro	83	45.457135915412096	9.192910214465607
airbnb	centro	153	45.457323212906466	9.193087500595038
airbnb	centro	206	45.47239837112675	9.192096283395315
airbnb	centro	297	45.47229272605464	9.192040982411884
airbnb	centro	124	45.47279191235615	9.193158614509732
airbnb	centro	144	45.47210906862513	9.192750710775696
airbnb	centro	257	45.472037265922886	9.192789151929738
airbnb	centro	93	45.48164607175034	9.191285704195408
airbnb	centro	1236	45.481725618436066	9.192942245411782
airbnb	centro	103	45.481658432522806	9.191327874552558
airbnb	centro	41	45.4816364618453	9.191288359357957
airbnb	centro	103	45.48150090205235	9.193232427032966
airbnb	centro	103	45.48068310526076	9.191043255809523
airbnb	centro	566	45.48183828447844	9.193387016050037
airbnb	centro	103	45.45841251029633	9.19469642933123
airbnb	centro	113	45.45847050706139	9.195225375259666
airbnb	centro	41	45.45871456285431	9.193525039829154
airbnb	centro	77	45.47108225245958	9.194618614639328
airbnb	centro	124	45.47105137483633	9.194369100407695
airbnb	centro	206	45.47109913334432	9.194563797721436
airbnb	centro	237	45.470860991694245	9.19382498106824
